"Project","SDG","Target","Frequency"
"P079032","SDG 17","SDG 17.5",90
"P079032","SDG 17","SDG 17.17",28
"P079032","SDG 1","SDG 1.3",21
"P079032","SDG 11","SDG 11.1",18
"P079032","SDG 6","SDG 6.4",18
"P079032","SDG 4","SDG 4.2",15
"P079032","SDG 11","SDG 11.3",13
"P079032","SDG 11","SDG 11.6",13
"P079032","SDG 7","SDG 7.3",12
"P079032","SDG 16","SDG 16.10",9
"P079032","SDG 17","SDG 17.4",9
"P079032","SDG 10","SDG 10.3",7
"P079032","SDG 13","SDG 13.3",7
"P079032","SDG 16","SDG 16.6",6
"P079032","SDG 16","SDG 16.9",6
"P079032","SDG 13","SDG 13.a",5
"P079032","SDG 17","SDG 17.19",5
"P079032","SDG 2","SDG 2.5",5
"P079032","SDG 6","SDG 6.2",5
"P079032","SDG 10","SDG 10.5",4
"P079032","SDG 12","SDG 12.4 ",4
"P079032","SDG 15","SDG 15.3",4
"P079032","SDG 9","SDG 9.a",4
"P079032","SDG 9","SDG 9.b",4
"P079032","SDG 1","SDG 1.1",3
"P079032","SDG 11","SDG 11.a",3
"P079032","SDG 16","SDG 16.7",3
"P079032","SDG 17","SDG 17.1",3
"P079032","SDG 3","SDG 3.8",3
"P079032","SDG 10","SDG 10.2",2
"P079032","SDG 10","SDG 10.7",2
"P079032","SDG 11","SDG 11.2",2
"P079032","SDG 11","SDG 11.4",2
"P079032","SDG 13","SDG 13.2",2
"P079032","SDG 14","SDG 14.1",2
"P079032","SDG 2","SDG 2.a",2
"P079032","SDG 7","SDG 7.1",2
"P079032","SDG 11","SDG 11.7",1
"P079032","SDG 12","SDG 12.1",1
"P079032","SDG 12","SDG 12.3",1
"P079032","SDG 12","SDG 12.6",1
"P079032","SDG 12","SDG 12.c",1
"P079032","SDG 13","SDG 13.b",1
"P079032","SDG 14","SDG 14.2",1
"P079032","SDG 14","SDG 14.c",1
"P079032","SDG 15","SDG 15.a",1
"P079032","SDG 17","SDG 17.13",1
"P079032","SDG 17","SDG 17.7",1
"P079032","SDG 3","SDG 3.3",1
"P079032","SDG 3","SDG 3.6 ",1
"P079032","SDG 7","SDG 7.2",1
"P079032","SDG 9","SDG 9.3",1
"P079032","SDG 9","SDG 9.5",1
"P085375","SDG 6","SDG 6.2",243
"P085375","SDG 17","SDG 17.17",34
"P085375","SDG 6","SDG 6.4",31
"P085375","SDG 16","SDG 16.10",28
"P085375","SDG 5","SDG 5.1",24
"P085375","SDG 6","SDG 6.b",23
"P085375","SDG 11","SDG 11.a",21
"P085375","SDG 16","SDG 16.6",19
"P085375","SDG 10","SDG 10.3",16
"P085375","SDG 11","SDG 11.6",16
"P085375","SDG 13","SDG 13.3",16
"P085375","SDG 4","SDG 4.2",16
"P085375","SDG 17","SDG 17.5",14
"P085375","SDG 9","SDG 9.b",12
"P085375","SDG 1","SDG 1.1",10
"P085375","SDG 11","SDG 11.2",9
"P085375","SDG 15","SDG 15.9",8
"P085375","SDG 17","SDG 17.19",8
"P085375","SDG 1","SDG 1.5",7
"P085375","SDG 16","SDG 16.7",7
"P085375","SDG 13","SDG 13.a",6
"P085375","SDG 15","SDG 15.3",6
"P085375","SDG 11","SDG 11.3",5
"P085375","SDG 11","SDG 11.7",5
"P085375","SDG 3","SDG 3.2",5
"P085375","SDG 3","SDG 3.8",5
"P085375","SDG 6","SDG 6.3",5
"P085375","SDG 10","SDG 10.5",4
"P085375","SDG 12","SDG 12.4 ",4
"P085375","SDG 16","SDG 16.1",4
"P085375","SDG 16","SDG 16.5",4
"P085375","SDG 16","SDG 16.9",4
"P085375","SDG 9","SDG 9.a",4
"P085375","SDG 12","SDG 12.6",3
"P085375","SDG 13","SDG 13.1",3
"P085375","SDG 16","SDG 16.2",3
"P085375","SDG 17","SDG 17.6",3
"P085375","SDG 17","SDG 17.8",3
"P085375","SDG 2","SDG 2.5",3
"P085375","SDG 2","SDG 2.a",3
"P085375","SDG 4","SDG 4.1",3
"P085375","SDG 4","SDG 4.5",3
"P085375","SDG 1","SDG 1.3",2
"P085375","SDG 11","SDG 11.5",2
"P085375","SDG 12","SDG 12.3",2
"P085375","SDG 14","SDG 14.a",2
"P085375","SDG 14","SDG 14.c",2
"P085375","SDG 15","SDG 15.b",2
"P085375","SDG 17","SDG 17.4",2
"P085375","SDG 3","SDG 3.4",2
"P085375","SDG 5","SDG 5.3",2
"P085375","SDG 5","SDG 5.5",2
"P085375","SDG 9","SDG 9.5",2
"P085375","SDG 1","SDG 1.b",1
"P085375","SDG 10","SDG 10.2",1
"P085375","SDG 10","SDG 10.6",1
"P085375","SDG 11","SDG 11.4",1
"P085375","SDG 11","SDG 11.b",1
"P085375","SDG 11","SDG 11.c",1
"P085375","SDG 12","SDG 12.1",1
"P085375","SDG 12","SDG 12.b",1
"P085375","SDG 13","SDG 13.b",1
"P085375","SDG 14","SDG 14.2",1
"P085375","SDG 14","SDG 14.4",1
"P085375","SDG 15","SDG 15.8",1
"P085375","SDG 15","SDG 15.a",1
"P085375","SDG 17","SDG 17.1",1
"P085375","SDG 2","SDG 2.4",1
"P085375","SDG 3","SDG 3.5",1
"P085375","SDG 3","SDG 3.6 ",1
"P085375","SDG 3","SDG 3.c",1
"P085375","SDG 6","SDG 6.6",1
"P085375","SDG 7","SDG 7.3",1
"P085375","SDG 8","SDG 8.5",1
"P086592","SDG 2","SDG 2.a",78
"P086592","SDG 6","SDG 6.4",54
"P086592","SDG 16","SDG 16.10",39
"P086592","SDG 15","SDG 15.3",36
"P086592","SDG 11","SDG 11.6",24
"P086592","SDG 17","SDG 17.17",17
"P086592","SDG 17","SDG 17.5",14
"P086592","SDG 11","SDG 11.a",13
"P086592","SDG 2","SDG 2.4",13
"P086592","SDG 9","SDG 9.b",13
"P086592","SDG 1","SDG 1.1",12
"P086592","SDG 13","SDG 13.3",10
"P086592","SDG 17","SDG 17.19",10
"P086592","SDG 9","SDG 9.a",10
"P086592","SDG 16","SDG 16.1",9
"P086592","SDG 17","SDG 17.6",9
"P086592","SDG 17","SDG 17.1",7
"P086592","SDG 4","SDG 4.2",7
"P086592","SDG 10","SDG 10.3",5
"P086592","SDG 16","SDG 16.9",5
"P086592","SDG 17","SDG 17.8",5
"P086592","SDG 1","SDG 1.3",4
"P086592","SDG 16","SDG 16.6",4
"P086592","SDG 5","SDG 5.1",4
"P086592","SDG 7","SDG 7.3",4
"P086592","SDG 11","SDG 11.3",3
"P086592","SDG 13","SDG 13.a",3
"P086592","SDG 14","SDG 14.a",3
"P086592","SDG 2","SDG 2.5",3
"P086592","SDG 9","SDG 9.5",3
"P086592","SDG 10","SDG 10.7",2
"P086592","SDG 12","SDG 12.3",2
"P086592","SDG 14","SDG 14.2",2
"P086592","SDG 14","SDG 14.c",2
"P086592","SDG 2","SDG 2.3",2
"P086592","SDG 5","SDG 5.5",2
"P086592","SDG 6","SDG 6.b",2
"P086592","SDG 9","SDG 9.3",2
"P086592","SDG 10","SDG 10.1",1
"P086592","SDG 10","SDG 10.2",1
"P086592","SDG 11","SDG 11.5",1
"P086592","SDG 11","SDG 11.b",1
"P086592","SDG 12","SDG 12.8",1
"P086592","SDG 13","SDG 13.2",1
"P086592","SDG 16","SDG 16.5",1
"P086592","SDG 16","SDG 16.7",1
"P086592","SDG 17","SDG 17.11",1
"P086592","SDG 3","SDG 3.2",1
"P086592","SDG 4","SDG 4.3",1
"P086592","SDG 4","SDG 4.5",1
"P086592","SDG 4","SDG 4.7",1
"P086592","SDG 6","SDG 6.2",1
"P086592","SDG 6","SDG 6.a",1
"P086592","SDG 8","SDG 8.8",1
"P088799","SDG 2","SDG 2.a",125
"P088799","SDG 11","SDG 11.a",78
"P088799","SDG 15","SDG 15.3",51
"P088799","SDG 1","SDG 1.1",42
"P088799","SDG 2","SDG 2.4",41
"P088799","SDG 17","SDG 17.5",35
"P088799","SDG 16","SDG 16.10",33
"P088799","SDG 15","SDG 15.9",28
"P088799","SDG 16","SDG 16.6",20
"P088799","SDG 17","SDG 17.17",19
"P088799","SDG 10","SDG 10.3",13
"P088799","SDG 4","SDG 4.2",12
"P088799","SDG 10","SDG 10.7",11
"P088799","SDG 17","SDG 17.19",11
"P088799","SDG 9","SDG 9.b",11
"P088799","SDG 10","SDG 10.5",10
"P088799","SDG 13","SDG 13.3",10
"P088799","SDG 11","SDG 11.6",9
"P088799","SDG 16","SDG 16.9",9
"P088799","SDG 11","SDG 11.4",8
"P088799","SDG 17","SDG 17.6",8
"P088799","SDG 17","SDG 17.8",8
"P088799","SDG 1","SDG 1.3",7
"P088799","SDG 12","SDG 12.3",7
"P088799","SDG 4","SDG 4.5",7
"P088799","SDG 12","SDG 12.1",6
"P088799","SDG 13","SDG 13.a",6
"P088799","SDG 14","SDG 14.4",6
"P088799","SDG 15","SDG 15.b",6
"P088799","SDG 5","SDG 5.1",6
"P088799","SDG 6","SDG 6.2",6
"P088799","SDG 9","SDG 9.3",6
"P088799","SDG 12","SDG 12.4 ",5
"P088799","SDG 3","SDG 3.8",5
"P088799","SDG 6","SDG 6.b",5
"P088799","SDG 9","SDG 9.5",5
"P088799","SDG 10","SDG 10.2",4
"P088799","SDG 11","SDG 11.3",4
"P088799","SDG 11","SDG 11.5",4
"P088799","SDG 15","SDG 15.2",4
"P088799","SDG 15","SDG 15.a",4
"P088799","SDG 16","SDG 16.1",4
"P088799","SDG 16","SDG 16.7",4
"P088799","SDG 2","SDG 2.3",4
"P088799","SDG 2","SDG 2.5",4
"P088799","SDG 5","SDG 5.5",4
"P088799","SDG 11","SDG 11.b",3
"P088799","SDG 11","SDG 11.c",3
"P088799","SDG 12","SDG 12.2",3
"P088799","SDG 12","SDG 12.6",3
"P088799","SDG 14","SDG 14.a",3
"P088799","SDG 17","SDG 17.4",3
"P088799","SDG 3","SDG 3.2",3
"P088799","SDG 10","SDG 10.6",2
"P088799","SDG 11","SDG 11.1",2
"P088799","SDG 11","SDG 11.2",2
"P088799","SDG 13","SDG 13.2",2
"P088799","SDG 14","SDG 14.c",2
"P088799","SDG 15","SDG 15.5",2
"P088799","SDG 15","SDG 15.8",2
"P088799","SDG 15","SDG 15.c",2
"P088799","SDG 3","SDG 3.b",2
"P088799","SDG 6","SDG 6.4",2
"P088799","SDG 7","SDG 7.3",2
"P088799","SDG 9","SDG 9.a",2
"P088799","SDG 1","SDG 1.2",1
"P088799","SDG 1","SDG 1.b",1
"P088799","SDG 11","SDG 11.7",1
"P088799","SDG 12","SDG 12.c",1
"P088799","SDG 14","SDG 14.2",1
"P088799","SDG 14","SDG 14.7",1
"P088799","SDG 15","SDG 15.4",1
"P088799","SDG 16","SDG 16.8",1
"P088799","SDG 17","SDG 17.1",1
"P088799","SDG 17","SDG 17.10",1
"P088799","SDG 17","SDG 17.11",1
"P088799","SDG 2","SDG 2.2",1
"P088799","SDG 3","SDG 3.1",1
"P088799","SDG 3","SDG 3.4",1
"P088799","SDG 3","SDG 3.5",1
"P088799","SDG 3","SDG 3.6 ",1
"P088799","SDG 3","SDG 3.7",1
"P088799","SDG 3","SDG 3.c",1
"P088799","SDG 4","SDG 4.7",1
"P088799","SDG 4","SDG 4.c",1
"P088799","SDG 5","SDG 5.a",1
"P088799","SDG 7","SDG 7.a",1
"P088799","SDG 9","SDG 9.1",1
"P088966","SDG 11","SDG 11.6",65
"P088966","SDG 11","SDG 11.3",30
"P088966","SDG 17","SDG 17.17",24
"P088966","SDG 16","SDG 16.10",21
"P088966","SDG 17","SDG 17.19",20
"P088966","SDG 17","SDG 17.5",19
"P088966","SDG 6","SDG 6.4",18
"P088966","SDG 4","SDG 4.2",17
"P088966","SDG 11","SDG 11.7",15
"P088966","SDG 17","SDG 17.4",15
"P088966","SDG 1","SDG 1.1",14
"P088966","SDG 15","SDG 15.3",13
"P088966","SDG 12","SDG 12.4 ",12
"P088966","SDG 17","SDG 17.1",12
"P088966","SDG 3","SDG 3.6 ",12
"P088966","SDG 1","SDG 1.3",10
"P088966","SDG 6","SDG 6.2",10
"P088966","SDG 9","SDG 9.a",10
"P088966","SDG 9","SDG 9.b",9
"P088966","SDG 10","SDG 10.3",8
"P088966","SDG 11","SDG 11.5",8
"P088966","SDG 15","SDG 15.9",7
"P088966","SDG 16","SDG 16.1",6
"P088966","SDG 16","SDG 16.9",6
"P088966","SDG 17","SDG 17.6",6
"P088966","SDG 3","SDG 3.2",6
"P088966","SDG 6","SDG 6.3",6
"P088966","SDG 10","SDG 10.5",5
"P088966","SDG 11","SDG 11.a",5
"P088966","SDG 11","SDG 11.2",4
"P088966","SDG 14","SDG 14.1",4
"P088966","SDG 14","SDG 14.4",4
"P088966","SDG 3","SDG 3.8",4
"P088966","SDG 10","SDG 10.7",3
"P088966","SDG 13","SDG 13.3",3
"P088966","SDG 2","SDG 2.5",3
"P088966","SDG 4","SDG 4.c",3
"P088966","SDG 5","SDG 5.1",3
"P088966","SDG 7","SDG 7.3",3
"P088966","SDG 9","SDG 9.5",3
"P088966","SDG 11","SDG 11.1",2
"P088966","SDG 11","SDG 11.4",2
"P088966","SDG 11","SDG 11.b",2
"P088966","SDG 14","SDG 14.2",2
"P088966","SDG 3","SDG 3.3",2
"P088966","SDG 3","SDG 3.4",2
"P088966","SDG 4","SDG 4.5",2
"P088966","SDG 8","SDG 8.5",2
"P088966","SDG 1","SDG 1.4",1
"P088966","SDG 1","SDG 1.5",1
"P088966","SDG 1","SDG 1.b",1
"P088966","SDG 10","SDG 10.2",1
"P088966","SDG 10","SDG 10.6",1
"P088966","SDG 12","SDG 12.1",1
"P088966","SDG 12","SDG 12.3",1
"P088966","SDG 12","SDG 12.6",1
"P088966","SDG 13","SDG 13.b",1
"P088966","SDG 14","SDG 14.c",1
"P088966","SDG 15","SDG 15.8",1
"P088966","SDG 15","SDG 15.a",1
"P088966","SDG 16","SDG 16.2",1
"P088966","SDG 16","SDG 16.6",1
"P088966","SDG 16","SDG 16.7",1
"P088966","SDG 17","SDG 17.10",1
"P088966","SDG 17","SDG 17.8",1
"P088966","SDG 2","SDG 2.4",1
"P088966","SDG 2","SDG 2.a",1
"P088966","SDG 3","SDG 3.7",1
"P088966","SDG 3","SDG 3.c",1
"P088966","SDG 4","SDG 4.1",1
"P088966","SDG 5","SDG 5.3",1
"P088966","SDG 6","SDG 6.6",1
"P088966","SDG 6","SDG 6.b",1
